,City,Lat,Lon,Cloud,Humidity,MaxTemp,Windspeed
435,wattegama,6.7989,81.4808,40.0,100.0,78.8,3.44
436,sabla,12.7525,4.7077,14.0,8.0,104.74,9.06
437,yulara,-25.2406,130.9889,100.0,100.0,64.4,3.44
438,acajutla,13.5928,-89.8275,26.0,73.0,72.0,1.01
439,dois vizinhos,-25.7336,-53.0572,0.0,58.0,79.74,7.05
440,henties bay,-22.116,14.2845,34.0,84.0,64.99,7.0
441,neka,36.6508,53.299,0.0,67.0,62.6,18.41
442,altay,47.8667,88.1167,0.0,43.0,23.11,6.24
443,poronaysk,49.2167,143.1167,74.0,78.0,20.32,3.89
444,aksha,50.2814,113.2867,19.0,80.0,15.73,4.5
445,caconda,-13.7333,15.0667,100.0,68.0,73.78,7.92
446,tsihombe,,,,,,
447,oxford,51.7522,-1.256,90.0,81.0,50.0,8.05
448,la palma,33.8464,-118.0467,90.0,100.0,55.99,3.44
449,pimentel,-6.8367,-79.9342,0.0,83.0,71.01,9.22
450,severo-kurilsk,50.6789,156.125,85.0,79.0,23.63,21.32
451,qasigiannguit,68.8193,-51.1922,75.0,63.0,19.4,5.75
452,luancheng,37.8792,114.6517,0.0,31.0,48.2,15.66
453,tres arroyos,-38.3739,-60.2798,96.0,68.0,62.74,14.07
454,srednekolymsk,67.45,153.6833,0.0,85.0,-12.98,2.15
455,flic en flac,-20.2742,57.3631,75.0,78.0,82.4,10.36
456,ternate,0.8,127.4,98.0,77.0,81.79,4.85
457,roanoke,37.271,-79.9414,40.0,69.0,34.0,2.68
458,westport,41.1415,-73.3579,1.0,44.0,37.99,3.96
459,astana,51.1801,71.446,90.0,93.0,33.8,22.37
460,buala,-8.145,159.5921,100.0,81.0,80.08,2.86
461,bristol,41.8334,-71.1662,0.0,55.0,36.0,4.14
462,tuggurt,,,,,,
463,thinadhoo,0.5333,72.9333,64.0,71.0,83.07,8.01
464,katsuura,35.1333,140.3,73.0,86.0,59.0,19.1
465,devyatka,,,,,,
466,grand gaube,-20.0064,57.6608,1.0,80.0,82.0,5.01
467,louisbourg,,,,,,
468,colac,-38.3333,143.5833,99.0,1.0,62.01,3.0
469,ajdabiya,30.7554,20.2263,0.0,20.0,79.63,10.67
470,pandan,14.0453,124.1694,23.0,84.0,80.13,9.24
471,bullhead city,35.1478,-114.5683,1.0,48.0,66.0,6.91
472,kamenka,51.3223,42.7678,97.0,90.0,30.38,6.6
473,rapid valley,44.0625,-103.1463,1.0,80.0,39.99,9.06
474,trairi,-3.2778,-39.2689,4.0,68.0,84.58,7.23
475,pagman,,,,,,
476,razole,16.4833,81.8333,0.0,46.0,91.4,8.05
477,alotau,,,,,,
478,mao,39.8885,4.2658,75.0,71.0,50.0,26.46
479,quimper,48.0,-4.1,75.0,54.0,53.6,9.22
480,melfort,52.8667,-104.6177,100.0,80.0,33.8,5.75
481,inta,66.0317,60.1659,100.0,94.0,15.22,2.68
482,ust-kuyga,70.0167,135.6,63.0,99.0,-23.26,3.24
483,zunheboto,25.9667,94.5167,0.0,35.0,63.05,0.67
484,borovoy,55.4333,86.0833,0.0,44.0,33.8,8.95
485,riyadh,24.6877,46.7219,0.0,10.0,84.2,8.05
486,guarapari,-20.6667,-40.4975,40.0,69.0,82.0,3.09
487,kontagora,10.3999,5.4695,0.0,23.0,101.75,6.08
488,karaul,,,,,,
489,kaeo,-35.1,173.7833,7.0,84.0,59.0,1.99
490,caravelas,-17.7125,-39.2481,71.0,76.0,79.99,5.1
491,qaqortoq,60.7167,-46.0333,75.0,75.0,35.6,14.97
492,hatillo,18.4863,-66.8254,40.0,78.0,79.0,5.75
493,storm lake,42.6411,-95.2097,1.0,100.0,33.8,13.8
494,dwarka,22.2394,68.9678,0.0,68.0,79.97,13.91
495,saint-pierre,-21.3393,55.4781,20.0,61.0,84.2,24.16
496,meulaboh,4.1363,96.1285,100.0,81.0,79.83,1.21
497,yar-sale,66.8333,70.8333,99.0,91.0,-14.28,11.99
498,cumana,10.4635,-64.1775,75.0,71.0,77.9,8.12
499,inhambane,-23.865,35.3833,40.0,66.0,86.0,5.75
500,san policarpo,12.1791,125.5072,100.0,81.0,81.9,9.78
501,shangzhi,45.2167,127.9667,100.0,98.0,31.62,2.39
502,bantou,26.2151,117.4893,100.0,82.0,66.97,3.24
503,khangarh,29.9173,71.1618,40.0,37.0,87.8,4.74
504,wanning,18.8003,110.3967,94.0,88.0,75.42,5.53
505,kholm-zhirkovskiy,55.5189,33.4731,100.0,72.0,30.72,8.55
506,garden city,42.3256,-83.331,1.0,74.0,28.4,2.8
507,dunedin,-45.8742,170.5036,15.0,74.0,57.0,15.01
508,kazanskoye,55.6448,69.235,100.0,94.0,32.11,12.39
509,kilkenny,52.6542,-7.2522,94.0,81.0,57.0,5.99
510,tazovskiy,67.4667,78.7,18.0,84.0,-23.13,11.23
511,humaita,-7.5061,-63.0208,100.0,98.0,72.77,1.97
512,aksu,41.1231,80.2644,100.0,30.0,50.04,7.65
513,boysun,38.2061,67.1986,100.0,80.0,47.89,9.95
514,abu zabad,12.35,29.25,26.0,7.0,103.57,15.68
515,surgut,61.25,73.4167,40.0,86.0,24.8,13.42
516,babai,22.7,77.9333,83.0,17.0,88.41,1.66
517,eureka,40.8021,-124.1637,86.0,95.0,43.0,1.01
518,puerto baquerizo moreno,-0.9,-89.6,94.0,79.0,78.57,8.16
519,martapura,-3.4167,114.85,20.0,94.0,78.8,2.15
520,kihei,20.785,-156.4656,1.0,88.0,69.8,8.9
521,marcona,,,,,,
522,svetlaya,46.5389,138.3297,100.0,90.0,30.07,6.49
523,prince rupert,54.3161,-130.3201,1.0,80.0,37.4,2.3
524,reo,12.3167,-2.4667,97.0,13.0,101.68,5.5
525,whitehorse,60.7161,-135.0538,20.0,77.0,-4.0,4.61
526,kautokeino,69.0125,23.0412,100.0,92.0,30.11,10.31
527,hervey bay,-25.2986,152.8535,64.0,89.0,75.99,1.01
528,ust-maya,60.4167,134.5333,100.0,95.0,16.66,3.67
